year,state,voter_pct_of_total,voter_pct_of_citizen,reg_pct_of_total,reg_pct_of_citizen
1998,OH,0.446,0.45399999999999996,0.637,0.648
1998,OK,0.401,0.40700000000000003,0.6409999999999999,0.6509999999999999
1998,OR,0.47,0.505,0.6609999999999999,0.71
1998,PA,0.392,0.40299999999999997,0.61,0.627
1998,RI,0.485,0.527,0.659,0.716
1998,SC,0.47100000000000003,0.475,0.677,0.6829999999999999
1998,SD,0.507,0.509,0.687,0.691
1998,TN,0.36200000000000004,0.365,0.639,0.644
1998,TX,0.32899999999999996,0.37,0.59,0.6629999999999999
1998,UT,0.39899999999999997,0.42100000000000004,0.5589999999999999,0.59
1998,VA,0.301,0.313,0.603,0.626
1998,VT,0.516,0.528,0.7120000000000001,0.728
1998,WA,0.456,0.489,0.628,0.6729999999999999
1998,WI,0.503,0.509,0.687,0.696
1998,WV,0.359,0.36,0.628,0.629
1998,WY,0.5429999999999999,0.551,0.6559999999999999,0.6659999999999999
2000,AK,0.655,0.677,0.725,0.7490000000000001
2000,AL,0.596,0.604,0.736,0.746
2000,AR,0.494,0.506,0.594,0.608
